City,Country,Cloudiness,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
Kangaatsiaq,GL,0,1576104165,60,68.31,-53.46,18.84,13.76
Lagunas,PE,100,1576104167,88,-5.23,-75.68,77.38,1.81
Pokhara,NP,100,1576104169,80,28.21,83.99,50.99,1.34
Rundu,NA,63,1576104171,20,-17.91,19.77,82.4,5.82
Cam Ranh,VN,20,1576104172,88,11.92,109.15,73.4,5.82
Lynchburg,US,1,1576104122,51,37.41,-79.14,41.0,4.65
Ladybrand,ZA,1,1576104177,57,-29.19,27.46,54.34,1.43
Ambanja,MG,80,1576104181,90,-13.68,48.45,77.52,3.38
Sande,NO,75,1576104182,80,59.59,10.21,41.0,11.41
Kloulklubed,PW,75,1576104184,83,7.04,134.26,80.6,6.93
Laguna,BZ,75,1576104186,94,16.17,-88.94,77.0,1.79
Pangnirtung,CA,40,1576104187,60,66.15,-65.72,10.4,5.82
Linhares,BR,21,1576104189,94,-19.38,-40.06,72.25,4.72
Korolevo,UA,99,1576104191,100,48.15,23.13,37.4,3.36
Kailua,US,20,1576104194,69,21.39,-157.74,84.2,3.36
Oranjestad,AW,20,1576104195,69,12.52,-70.03,82.4,16.11
Kahului,US,40,1576104199,58,20.89,-156.47,86.0,12.75
Trairi,BR,66,1576104202,83,-3.28,-39.27,76.77,3.04
Punta Alta,AR,20,1576104204,52,-27.46,-55.82,91.4,3.36
Lodwar,KE,0,1576104205,57,3.12,35.6,80.65,12.93
Lotofaga,WS,75,1576104207,74,-13.98,-171.86,86.0,9.17
Storforshei,NO,20,1576104209,81,66.4,14.52,32.0,5.82
Hami,CN,24,1576104210,59,42.84,93.51,19.69,1.36
Thinadhoo,MV,100,1576104212,67,0.53,72.93,82.42,3.15
Yilan,CN,20,1576104213,71,43.11,129.52,13.3,10.58
Paranaiba,BR,100,1576104215,93,-19.68,-51.19,72.43,6.13
Progreso,UY,90,1576104217,31,-34.68,-56.22,87.8,2.24
Michigan City,US,40,1576104218,62,41.71,-86.9,24.8,5.82
Helong,CN,0,1576104220,50,25.94,116.13,46.42,1.14
Teguldet,RU,100,1576104222,92,57.31,88.17,21.96,8.77
Taoudenni,ML,4,1576104223,20,22.68,-3.98,58.64,11.16
Russell,US,1,1576104038,40,38.9,-98.86,53.6,19.46
Jackson,US,90,1576104226,86,43.48,-110.76,30.2,4.7
Pilar,AR,75,1576104228,40,-34.46,-58.91,91.4,18.34
Ilulissat,GL,5,1576104230,45,69.22,-51.1,3.2,8.05
Cairns,AU,75,1576104231,83,-16.92,145.77,84.0,8.05
Artyom,RU,24,1576104233,52,43.36,132.19,15.8,6.71
Te Anau,NZ,95,1576104234,93,-45.41,167.72,54.16,1.97
Provideniya,RU,75,1576104236,98,64.42,-173.23,32.0,5.1
Henties Bay,NA,19,1576104238,89,-22.12,14.28,64.0,1.88
Vallecillo,ES,40,1576104239,86,42.36,-5.21,44.01,14.99
Guymon,US,1,1576104241,61,36.68,-101.48,53.6,20.8
Kenai,US,75,1576104243,64,60.55,-151.26,39.0,26.4
Takoradi,GH,45,1576104244,82,4.89,-1.75,81.05,8.21
Sorong,ID,71,1576104246,84,-0.86,131.25,81.36,2.66
Mahibadhoo,MV,100,1576104247,88,3.78,72.97,76.96,5.59
Sola,TZ,2,1576104249,90,-3.17,33.8,64.33,2.73
Paamiut,GL,100,1576104252,76,61.99,-49.67,30.25,12.39
Beringovskiy,RU,83,1576104254,85,63.05,179.32,28.96,10.69
Gerash,IR,0,1576104256,75,27.67,54.14,53.44,7.76
Talcahuano,CL,41,1576104257,59,-36.72,-73.12,66.2,16.11
Mehran,IR,49,1576104259,93,33.12,46.17,35.6,4.7
Kachiry,KZ,0,1576104261,86,53.07,76.1,15.46,8.68
Caiaponia,BR,88,1576104262,89,-16.96,-51.81,72.77,2.39
Darnah,LY,29,1576104264,64,32.77,22.64,61.86,27.09
Puerto Leguizamo,CO,89,1576104270,65,-0.19,-74.78,79.68,3.36
Sarangpur,IN,76,1576104272,48,23.57,76.47,65.37,5.32
Half Moon Bay,US,90,1576104273,100,37.46,-122.43,64.0,6.93
Jalu,LY,44,1576104275,41,29.03,21.55,53.37,14.63
Viransehir,TR,29,1576104277,80,37.24,39.76,46.29,5.75
San Cristobal,HN,19,1576104278,81,14.68,-86.92,67.69,5.21
Lebedinyy,RU,99,1576104284,92,58.52,125.52,-7.53,6.64
Calvinia,ZA,0,1576104286,48,-31.47,19.78,61.86,3.47
Pampa,US,1,1576104287,57,35.54,-100.96,55.4,18.34
Fort Nelson,CA,90,1576104289,77,58.81,-122.69,1.4,5.82
Muncar,ID,99,1576104290,77,-8.43,114.34,81.59,3.56
Gumdag,TM,94,1576104292,70,39.2,54.59,46.9,4.76
Ziro,IN,91,1576104294,80,27.54,93.82,46.29,3.04
Krasnyy Oktyabr,RU,86,1576104295,67,56.12,38.88,27.55,3.58
Pokaran,IN,97,1576104297,41,26.93,71.92,67.14,8.77
Tual,ID,100,1576104299,67,-5.67,132.75,83.93,2.93
Mount Isa,AU,0,1576104300,25,-20.73,139.49,89.6,5.82
Chapais,CA,90,1576104302,77,49.78,-74.86,5.0,5.82
Kropotkin,RU,0,1576104304,84,45.43,40.58,36.27,8.16
Abu Dhabi,AE,75,1576104272,83,24.47,54.37,75.2,3.36
Yumen,CN,34,1576104307,55,40.29,97.04,16.84,4.52
Aurich,DE,75,1576104308,93,53.47,7.48,42.01,8.05
Illapel,CL,0,1576104310,74,-31.63,-71.17,55.71,3.53
Gujrat,PK,75,1576104312,93,32.57,74.07,50.0,2.57
Poum,MK,66,1576104313,90,41.28,20.71,33.1,4.32
Florianopolis,BR,75,1576104314,83,-27.6,-48.55,78.01,6.93
Palana,RU,100,1576104317,93,59.08,159.95,13.37,5.57
Dondo,MZ,75,1576104318,94,-19.62,34.74,77.0,5.82
Pisco,PE,67,1576104320,30,-13.71,-76.2,71.6,21.92
Santa Isabel do Rio Negro,BR,87,1576104321,87,-0.41,-65.02,77.16,0.36
Honiara,SB,40,1576104323,74,-9.43,159.96,86.0,2.24
Mangai,CD,83,1576104325,90,-4.07,19.59,69.04,0.63
Dauphin,CA,1,1576104326,64,51.15,-100.04,-4.0,4.7
Viedma,AR,60,1576104233,23,-40.81,-62.99,72.14,24.81
Grindavik,IS,40,1576104329,74,63.84,-22.43,32.0,23.04
Vavuniya,LK,19,1576104331,98,8.76,80.5,72.82,2.53
Peniche,PT,20,1576104333,93,39.36,-9.38,54.0,2.24
Inuvik,CA,5,1576104334,69,68.36,-133.71,-11.2,9.17
Labuhan,ID,79,1576104336,89,-2.54,115.51,77.56,1.23
Vila,IT,90,1576104339,100,45.18,8.4,39.2,5.82
Biak,ID,97,1576104341,68,-0.91,122.88,82.72,1.34
Szczecinek,PL,100,1576104342,87,53.71,16.69,30.99,8.01
Antsohihy,MG,77,1576104344,95,-14.88,47.99,77.0,0.65
Walvis Bay,NA,1,1576104345,87,-22.95,14.51,64.0,2.24
Namibe,AO,39,1576104347,79,-15.19,12.15,72.88,11.83
Menongue,AO,96,1576104349,57,-14.66,17.68,61.16,3.29
Havoysund,NO,75,1576104350,86,71.0,24.66,30.2,19.46
Kenora,CA,0,1576104352,59,49.76,-94.48,1.4,5.82
Teruel,ES,0,1576104355,74,40.34,-1.11,48.2,3.36
Maragogi,BR,18,1576104357,75,-9.01,-35.22,79.59,13.49
Makat,KZ,54,1576104358,95,47.65,53.35,28.78,5.5
Pacific Grove,US,90,1576104300,59,36.62,-121.92,64.0,3.36
Hermosillo,MX,100,1576104233,30,29.09,-110.96,78.01,4.0
Ambilobe,MG,59,1576104363,89,-13.19,49.05,77.29,2.24
Riyadh,SA,66,1576104185,82,24.63,46.72,57.2,2.24
Nautla,MX,96,1576104366,83,20.22,-96.78,56.46,2.84
Upata,VE,65,1576104368,98,8.02,-62.41,70.39,4.32
Gijon,ES,40,1576104306,76,43.54,-5.66,52.0,12.75
Marsa Matruh,EG,67,1576104371,47,31.35,27.25,66.11,18.54
Lorengau,PG,100,1576104373,70,-2.02,147.27,84.7,9.44
Mogok,MM,0,1576104375,76,22.92,96.51,52.88,3.49
Yarkovo,RU,90,1576104376,92,54.81,82.6,19.4,6.71
Chicama,PE,90,1576104378,83,-7.84,-79.15,69.8,8.05
Nebug,RU,0,1576104380,58,44.16,39.0,52.29,7.9
Tadine,NC,31,1576104381,60,-21.55,167.88,77.2,7.45
Saint-Francois,FR,90,1576104383,86,46.42,3.91,41.0,5.82
Healdsburg,US,90,1576104159,93,38.61,-122.87,57.0,3.11
Le Vauclin,MQ,100,1576104386,78,14.55,-60.84,80.6,8.05
Bugulma,RU,70,1576104388,91,54.54,52.8,21.36,11.5
Prince Rupert,CA,75,1576104390,66,54.32,-130.32,48.2,12.75
Craig,US,90,1576104391,73,40.52,-107.55,37.4,3.24
Amapa,HN,75,1576104395,66,15.09,-87.97,84.2,13.87
San Quintin,PH,2,1576104396,75,17.54,120.52,75.04,6.29
Tazovskiy,RU,68,1576104398,96,67.47,78.7,6.67,8.08
San Luis,AR,48,1576104235,37,-33.3,-66.34,78.98,13.53
Grand-Santi,GF,85,1576104401,99,4.27,-54.38,72.43,2.53
Zhezkazgan,KZ,100,1576104402,89,47.8,67.71,32.77,3.22
Miraflores,PE,98,1576104404,48,-16.39,-71.52,62.6,11.41
Marathon,CA,20,1576104406,69,48.72,-86.38,-7.6,5.82
Havelock,US,40,1576104407,75,34.88,-76.9,44.6,12.75
Moerai,PF,59,1576104409,78,-22.43,-151.33,74.03,24.63
Randers,DK,100,1576104411,93,56.46,10.04,41.0,1.12
Tokur,RU,100,1576104412,99,53.13,132.9,-21.69,1.28
Kawalu,ID,98,1576104414,86,-7.38,108.21,73.13,2.86
Haines Junction,CA,95,1576104417,97,60.75,-137.51,17.33,4.74
Carutapera,BR,56,1576104419,76,-1.2,-46.02,82.4,16.89
Zvishavane,ZW,0,1576104421,93,-20.32,30.05,64.74,2.33
Olinda,AU,75,1576104422,72,-37.84,145.39,63.0,13.87
Moose Factory,CA,20,1576104425,69,51.26,-80.61,-11.2,9.17
Qaqortoq,GL,100,1576104427,34,60.72,-46.03,33.8,24.16
Monroe,US,1,1576104277,62,41.91,-83.4,24.8,10.29
Aubergenville,FR,100,1576104432,75,48.96,1.86,43.0,6.93
Baykit,RU,100,1576104433,93,61.68,96.39,17.06,3.67
